dataset,experiment,seed,metric,difference
CBIS-DDSM,hybrid_025,42,accuracy,-0.022388059701492602
CBIS-DDSM,hybrid_025,42,Precision,0.019862490450725745
CBIS-DDSM,hybrid_025,42,Recall,-0.0653061224489796
CBIS-DDSM,hybrid_025,42,F1-Score,-0.03194953194953187
CBIS-DDSM,hybrid_025,42,AUROC,-0.020642142207201397
CBIS-DDSM,hybrid_025,42,AUPRC,-0.037650280927226665
CBIS-DDSM,hybrid_025,43,accuracy,0.0024875621890547706
CBIS-DDSM,hybrid_025,43,Precision,-0.05735783890465029
CBIS-DDSM,hybrid_025,43,Recall,0.08571428571428563
CBIS-DDSM,hybrid_025,43,F1-Score,0.021684883196287363
CBIS-DDSM,hybrid_025,43,AUROC,0.004419602235798736
CBIS-DDSM,hybrid_025,43,AUPRC,0.012165001022202193
CBIS-DDSM,hybrid_025,44,accuracy,0.01243781094527363
CBIS-DDSM,hybrid_025,44,Precision,-0.04456512895614673
CBIS-DDSM,hybrid_025,44,Recall,0.08571428571428574
CBIS-DDSM,hybrid_025,44,F1-Score,0.027074339868202735
CBIS-DDSM,hybrid_025,44,AUROC,0.031197192252697348
CBIS-DDSM,hybrid_025,44,AUPRC,0.057922320296863616
CBIS-DDSM,hybrid_025,45,accuracy,-0.01990049751243783
CBIS-DDSM,hybrid_025,45,Precision,0.016996769209158602
CBIS-DDSM,hybrid_025,45,Recall,-0.06938775510204087
CBIS-DDSM,hybrid_025,45,F1-Score,-0.027314630885098223
CBIS-DDSM,hybrid_025,45,AUROC,-0.023293903548680772
CBIS-DDSM,hybrid_025,45,AUPRC,-0.024538042075392896
CBIS-DDSM,hybrid_025,46,accuracy,-0.017412935323383172
CBIS-DDSM,hybrid_025,46,Precision,-0.008777495769881627
CBIS-DDSM,hybrid_025,46,Recall,-0.024489795918367308
CBIS-DDSM,hybrid_025,46,F1-Score,-0.018658686850906547
CBIS-DDSM,hybrid_025,46,AUROC,-0.0014558689717927287
CBIS-DDSM,hybrid_025,46,AUPRC,0.014769780017909295
BCDR,hybrid_025,42,accuracy,0.000904159132007254
BCDR,hybrid_025,42,Precision,-0.011165048543689271
BCDR,hybrid_025,42,Recall,0.020967741935483897
BCDR,hybrid_025,42,F1-Score,0.007526963390551478
BCDR,hybrid_025,42,AUROC,0.006006902960308036
BCDR,hybrid_025,42,AUPRC,0.005679404904661123
BCDR,hybrid_025,43,accuracy,0.006329113924050556
BCDR,hybrid_025,43,Precision,-0.006994550065147043
BCDR,hybrid_025,43,Recall,0.02741935483870961
BCDR,hybrid_025,43,F1-Score,0.012820705221327167
BCDR,hybrid_025,43,AUROC,0.0011184123191292361
BCDR,hybrid_025,43,AUPRC,-0.009036659139086356
BCDR,hybrid_025,44,accuracy,0.009945750452079571
BCDR,hybrid_025,44,Precision,0.0032083945376467637
