,,accuracy,accuracy,Precision,Precision,Recall,Recall,F1-Score,F1-Score,AUROC,AUROC,AUPRC,AUPRC
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,experiment,,,,,,,,,,,,
CBIS-DDSM,real_only,0.754726368159204,0.01148057786986502,0.8460527454156651,0.025231571205958227,0.7330612244897959,0.053576773299952335,0.7839285979581044,0.018837545840645852,0.8253685168334849,0.014062528284482567,0.8639891680278614,0.025347958949082202
CBIS-DDSM,hybrid_025,0.7457711442786069,0.01355664337655593,0.8312845046215062,0.03367356619669981,0.7355102040816327,0.062463650404249005,0.7780958726338951,0.02284726900832229,0.8234134927856491,0.008936118530692781,0.8685229236947325,0.01380117181108962
CBIS-DDSM,hybrid_050,0.7442786069651741,0.006902704938065447,0.831285323457236,0.029381035798918816,0.7306122448979592,0.031878570105741424,0.7767660773805874,0.007083655413412261,0.8175120239178474,0.007321413784772013,0.8580212653235681,0.00982495579109141
CBIS-DDSM,hybrid_100,0.7412935323383085,0.016216921405976744,0.8373442789408607,0.017633210197455212,0.7159183673469387,0.053732023620454,0.7704822529945891,0.024468231521803052,0.8098115169634733,0.01661458577759728,0.8557198561635664,0.019474973721177877
CBIS-DDSM,hybrid_200,0.7472636815920398,0.011480577869864988,0.8370044186611189,0.009808917416693696,0.7273469387755103,0.0325764407171182,0.7778625547981193,0.015524940522661885,0.8013518783309502,0.008215857070197627,0.8430316475335914,0.012673544694028652
CBIS-DDSM,hybrid_250,0.735820895522388,0.013442045856822193,0.8429046252623955,0.015311172286929497,0.6971428571428572,0.037118179736782574,0.76243637977524,0.018342182683406778,0.8034732874041335,0.01746283949398045,0.8484636078460568,0.020131088851605874
CBIS-DDSM,synthetic_only_matched,0.5930348258706468,0.035901994982613275,0.6930082998472386,0.03980918096434602,0.6106122448979592,0.14135065733792168,0.6396610424746769,0.07143939489828784,0.6233251007409334,0.03968550878234617,0.7062202166786957,0.03893630079309152
CBIS-DDSM,synthetic_only_maximum,0.5935323383084576,0.04367779536758998,0.7032376484669327,0.03122708597282797,0.5885714285714286,0.15887987756020064,0.6295499864600669,0.08268463826007069,0.6384089431951124,0.042825614320880195,0.7250160400774728,0.027613981242170668
BCDR,real_only,0.6804701627486438,0.019835940817944247,0.7628088434037483,0.015204651790538959,0.6261290322580646,0.06769775825257847,0.6855283527363105,0.038236101015341445,0.7386735032523563,0.012114735633595665,0.750147133309341,0.019985573102650075
BCDR,hybrid_025,0.681374321880651,0.02068331948804762,0.7557096318277805,0.012431284287389406,0.6374193548387097,0.0407301977830505,0.6911047194284505,0.027769996618758112,0.738989446435683,0.021522010478451814,0.7447841140324295,0.009658862455283473
BCDR,hybrid_050,0.6797468354430379,0.019290611722379152,0.7499564554551583,0.010579342924659934,0.6429032258064515,0.039861884339566035,0.6918655442861393,0.026175508899460447,0.7374346210009293,0.01865099270302342,0.7508828826890882,0.020206415480041564
BCDR,hybrid_100,0.6667269439421338,0.01918650391075014,0.7559207810764661,0.019806577791451355,0.6012903225806452,0.06708010028554237,0.667642813676419,0.03500238849645944,0.7293797291915572,0.013779745719362906,0.7453534893681775,0.014531350919207422
BCDR,hybrid_200,0.6600361663652803,0.011490293876255716,0.7617511373534516,0.01244723362895254,0.5735483870967741,0.03882040614680253,0.6535682283057203,0.022455922851655104,0.7330124120536307,0.015326791268043908,0.7468256229114557,0.020252986353344025
BCDR,hybrid_250,0.65750452079566,0.028879357878233945,0.7579956237432357,0.021516837414970923,0.5725806451612903,0.07345353249506902,0.6500059706536011,0.0481769848690366,0.7278039957520244,0.030989760704480597,0.740834631295343,0.022544562604668177
BCDR,synthetic_only_matched,0.5862567811934901,0.021582715972932674,0.6163409092285861,0.04757213345309701,0.75,0.17639734967959536,0.6620654865030671,0.06807553097688275,0.6086924200185849,0.020350681221335504,0.6592908017289926,0.016964990083591727
BCDR,synthetic_only_maximum,0.5958408679927667,0.03413724616392919,0.6252712327214264,0.03893751651331408,0.7280645161290323,0.17946619889345558,0.6619606295441118,0.06379788215728685,0.6318535112173105,0.044651656208666755,0.6760380540138664,0.033502629872939234
