relative_path,dataset,split,label,size_bytes,sha256
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00009_image18553022011298363903753970133853455201_mass6_is_benign_0.png,cbis-ddsm,train,malignant,7174,67694852ce1a0648a74e53ebd7ba00c5fb67731a84fa35e8548f0b331877a5d6
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00009_image392091931911637760938815694332198115839_mass5_is_benign_0.png,cbis-ddsm,train,malignant,6880,8255227af70c5e123350901f304cdb32d232c7b45b75c120f8be44bc4f2acfc0
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00023_image123968816011512951434814084172747879091_mass14_is_benign_0.png,cbis-ddsm,train,malignant,6849,7100b4576844c24be7cc620a27637e21d137cb06da9413cd6c77dc19033cff4a
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00023_image417639228911807576813743896492930957214_mass15_is_benign_0.png,cbis-ddsm,train,malignant,6875,ec0ac42d5accde95870e12c942c9f297a613646ab8bf55d37cfff3c6214dffb7
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00034_image222964872412147464212566329811281296906_mass20_is_benign_0.png,cbis-ddsm,train,malignant,7302,503409d43a709701ace06c7e6bd099ce21dba6b3b74eb56746de3bdd44996762
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00034_image369255064712196304011941917441138397637_mass21_is_benign_0.png,cbis-ddsm,train,malignant,7394,d3798bd8c0eedcc4f9bdf4a6480ed77bbfd765bf31fe3411d4e8b5d0aacd7d2e
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00039_image19837517612718253003962722834096769392_mass22_is_benign_0.png,cbis-ddsm,train,malignant,7904,de0ad69f2b919110d4c0db3ef1b835737814955ca72c8c014020c57402e160d0
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00039_image71857658212153789806692143780711049660_mass23_is_benign_0.png,cbis-ddsm,train,malignant,7700,c4d2b5efb77acce9727eb5321b478b55248dfc4ddb351db57d004d691a0171ea
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00045_image42762912711049730303427014573334305742_mass32_is_benign_0.png,cbis-ddsm,train,malignant,7113,e13b76af82c387597101ef9dfc92c66728e1a958ebff25aac9abf5dcccb37589
dataset16062024/cbis-ddsm/train/is_benign_false/patientcbis-ddsm__P_00045_image94401286311079940637575354234176510341_mass33_is_benign_0.png,cbis-ddsm,train,malignant,6984,8cad0c2960d147ca547edc064018c536b2876b9f380da92bfe708c4f9bbaea5e
